"match_id","match_name","match_date","match_startdate_utc","round_name","round_number","round_code","match_status_code","match_type_code","season_id","competition_id","venue_id","venue_code","venue_name","home_squad_id","home_squad_code","home_squad_name","home_squad_score_goals","home_squad_score_behinds","home_squad_score_points","away_squad_id","away_squad_code","away_squad_name","away_squad_score_goals","away_squad_score_behinds","away_squad_score_points","person_id","person_fullname","person_displayname","jumpernumber","player_squad_id","player_squad_code","age_match","selected_position_code","selected_position_name","player_id","player_firstname","player_surname","player_dob","player_height","player_jumpernumber","participation_position_code","match_played","player_position_id","position_name","position_code","disposals","kicks","handballs","marks","tackles","clearances","free_kicks","pressure_acts","inside_50s","rebound_50s","metres_gained","turnovers","goals","behinds","time_on_ground"
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","1012862","Elijah Hollands","E.Hollands","20","30","CARL","23.80","HBF","Half Back Flank","1012862","Elijah","Hollands","2002-04-25T00:00:00Z","189","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","1023346","Liam Reidy","L.Reidy","25","30","CARL","25.70","INT","Interchange","1023346","Liam","Reidy","2000-06-14T00:00:00Z","204","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","298290","Marc Pittonet","M.Pittonet","27","30","CARL","29.70","RK","Ruck","298290","Marc","Pittonet","1996-06-03T00:00:00Z","202","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","294036","George Hewett","G.Hewett","29","30","CARL","30.20","OB","On Ball","294036","George","Hewett","1995-12-29T00:00:00Z","187","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","1017057","Campbell Chesser","C.Chesser","31","30","CARL","22.80","INT","Interchange","1017057","Campbell","Chesser","2003-04-27T00:00:00Z","186","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","997316","Lewis Young","L.Young","33","30","CARL","27.20","FB","Full Back","997316","Lewis","Young","1998-12-20T00:00:00Z","202","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","1033084","Harry Dean","H.Dean","35","30","CARL","18.30","INT","Interchange","1033084","Harry","Dean","2007-11-13T00:00:00Z","193","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","1032108","Cooper Lord","C.Lord","36","30","CARL","20.90","INT","Interchange","1032108","Cooper","Lord","2005-03-20T00:00:00Z","184","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","1002795","Jordan Boyd","J.Boyd","37","30","CARL","27.40","INT","Interchange","1002795","Jordan","Boyd","1998-09-22T00:00:00Z","182","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","1036426","Talor Byrne","T.Byrne","39","30","CARL","18.30","INT","Interchange","1036426","Talor","Byrne","2007-11-14T00:00:00Z","174","","","","","","","","","","","","","","","","","","","","",""
